Approach,Document_ID,Participants,Interventions,Outcomes,Gold_Participants,Gold_Interventions,Gold_Outcomes
crf_predictions,11099086,201 evaluable children ages 6 months to 10 years | 13,"Oral ciprofloxacin vs. intramuscular ceftriaxone | oral antibiotics , intramuscular ceftriaxone | ciprofloxacin | ciprofloxacin suspension ( 10 mg/kg twice a day + im placebo | im ceftriaxone | ceftriaxone | Oral ciprofloxacin",Clinical response and safety | Overall bacteriologic eradication | Clinical cure or improvement | drug-related adverse events,acute invasive diarrhea | children | children . | acute invasive diarrhea | infants and children | 201 | children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting with acute invasive diarrhea at the Pediatric Emergency Room | ambulatory pediatric patients requiring an emergency room visit .,ciprofloxacin | ceftriaxone | ceftriaxone | ciprofloxacin | ciprofloxacin | ceftriaxone | ciprofloxacin | ceftriaxone | ciprofloxacin | ciprofloxacin | ceftriaxone | ciprofloxacin | ceftriaxone,"efficacy | safety | Stool cultures for Shigella , Salmonella , Campylobacter spp . and diarrheagenic Escherichia coli | Clinical response and safety | Clinical cure or improvement | adverse events | Joint examination | safe | effective"
crf_predictions,11229858,children,naproxen,fever peaks | fever clearance,children | malaria | children | malaria | malaria .,antipyretic drugs | antipyretics | naproxen | metamizol | Antipyretic,reduction of fever peaks . | fever clearance
crf_predictions,1131298,Not Found,Not Found,serum cholesterol and plasma fibrinogen and decreases in coagulation time and fibrinolytic activity,10 healthy subjects,essential oils of garlic and onion | garlic and onion | garlic or onion | essential oils | Garlic and onion | garlic | onion . | garlic and onion,serum cholesterol and plasma fibrinogen | coagulation time | fibrinolytic activity . | effects
crf_predictions,11317090,249 adults,aquatic exercise,Cost per quality-adjusted life year ( QALY ) gained | Quality of Well-Being Scale ( QWB ) and Current Health Desirability Rating ( CHDR ) | arthritis-specific Health Assessment Questionnaire ( HAQ ) | Perceived Quality of Life Scale,persons with osteoarthritis . | 249 adults from Washington State aged 55 to 75 | doctor-confirmed diagnosis of osteoarthritis,aquatic exercise | aquatic exercise classes | aquatic classes . | aquatic classes . | Aquatic exercisers | Aquatic exercise | aquatic exercise .,"Economic evaluation | cost | outcomes | Cost per quality-adjusted life year ( QALY ) | cost/QALY | Quality of Well-Being Scale ( QWB ) | Current Health Desirability Rating ( CHDR ) | arthritis-specific Health Assessment Questionnaire ( HAQ ) , Center for Epidemiologic Studies-Depression Scale ( CES-D ) | Perceived Quality of Life Scale ( PQOL ) | QALYs . Use of health care facilities | Medicare reimbursement rates | costs/QALY ratios | ( QWB ) | ( CHDR , HAQ , PQOL ) | Costs/QALY | QWB | CHRD . | QALY"
crf_predictions,11381289,Not Found,vitamin E | ACE inhibitor therapy,"rates of death | myocardial infarction , stroke , coronary revascularization , cardiac arrest and heart failure | blood pressure",patients at high risk for cardiovascular events .,ramipril | angiotensin-converting enzyme ( ACE ) inhibitor | ramipril | vitamin E | ACE inhibitor,"rates of death , myocardial infarction , stroke , coronary revascularization , cardiac arrest and heart failure | risk of diabetes-related complications and of diabetes itself ."
crf_predictions,11401641,53 | primary open angle glaucoma,"latanoprost | timolol , one switched from timolol to latanoprost",intraocular pressure ( IOP ) of switching | efficacy | IOP reduction,"patients insufficiently controlled on timolol . | patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol . | 53 patients with primary open angle glaucoma , capsular glaucoma , or ocular hypertension with an IOP of at least 21 mmHg on current therapy",timolol | latanoprost | latanoprost | timolol | timolol | timolol | timolol | latanoprost | latanoprost | timolol .,IOP-reducing | intraocular pressure ( IOP ) | IOP | IOP | IOP | IOP | IOP | IOP
crf_predictions,11454878,Not Found,pegylated liposomal doxorubicin | topotecan | pegylated liposomal doxorubicin ( PLD ) | platinum-based chemotherapy | PLD,overall progression-free survival rates | overall response rates | Median overall survival times | progression-free survival | overall survival | Severe hematologic toxicity,"patients with epithelial ovarian carcinoma that recurred after or did n't respond to first-line , platinum-based chemotherapy . | Patients with measurable and assessable disease | 474",pegylated liposomal doxorubicin | topotecan . | pegylated liposomal doxorubicin ( PLD ) | topotecan | PLD | topotecan | PLD | topotecan | PLD | topotecan | PLD | topotecan | PLD | PLD | topotecan . | PLD | topotecan | topotecan | topotecan | PLD,efficacy | safety | overall progression-free survival rates | overall response rates | Median overall survival times | overall survival | Severe hematologic toxicity | efficacy | safety
crf_predictions,11495215,Sixty healthy women,oral contraceptives ( OCs ) | OC | videotaped speech task | nicotine,cardiovascular reactivity | Cardiovascular reactivity to psychological stress | lipid reactivity | Heart rate | blood pressure | heart rate and diastolic blood pressure reactivity | cardiovascular or lipid stress reactivity,"Sixty healthy women , half of whom had been using OCs for at least the previous 6 months | two thirds were smokers | One third were nonsmokers .",Oral contraceptive | oral contraceptives ( OCs ) | nicotine | nicotine | OC | nicotine | OC | nicotine | nicotine | OC,"cardiovascular reactivity | cardiovascular and lipid reactivity . | Heart rate , blood pressure , and lipid measures | heart rate and diastolic blood pressure reactivity | cardiovascular or lipid stress reactivity | cardiovascular reactivity"
crf_predictions,11642083,106 males,thrombolytic therapy | streptokinase preparations,"systolic function of the left ventricle , arrhythmia | Left ventricular systolic function | progression of left ventricular systolic dysfunction",myocardial infarction | patients on thrombolytic therapy ( TLT ) . | 106 males | Q-MI,Neoton | thrombolytic therapy | neoton | thrombolytic therapy ( TLT ) | TLT | neoton | TLT | streptokinase | streptokinase preparations | neoton . | neoton | neoton | Neoton,"systolic function of the left ventricle , arrhythmia and clinical symptoms | Left ventricular systolic function | arrhythmia | systolic and diastolic volumes | left ventricular systolic dysfunction"
crf_predictions,11737955,Not Found,"Antioxidant supplementation | dl-alpha-tocopheryl acetate , 200 mg ascorbic acid | placebo",exercise-induced oxidative stress | plasma concentrations of alpha-tocopherol,the 60-year-old | older adults ( 60 ( SE 1 ) years ; BMI 26 ( SE 1 ) kg/m ( 2 ) ) | 60-year-old subjects,Antioxidant supplementation | antipyrine | antioxidant supplementation | dl-alpha-tocopheryl acetate | ascorbic acid | beta-carotene | placebo | Antipyrine | antioxidant supplementation,para- and ortho-hydroxyantipyrine to antipyrine . | thiobarbituric acid reactive substances in plasma . | free radical products of antipyrine .
crf_predictions,11750293,Twenty-two,Not Found,"illness perceptions , pain | disability , pain",recent onset rheumatoid arthritis : | patients with recently diagnosed rheumatoid arthritis ( RA ) | Twenty-two patients with a history of recently diagnosed RA of less than 2 years | 22 patients,standard outpatient clinic treatment,"disability | illness perceptions | pain | coping | depression . | clinical outcome and process measures | predict depression | depression , disability , pain , beliefs about the consequences of arthritis and coping strategies ."
crf_predictions,11829043,Not Found,audiotaped instructions,anxiety level and self-reported quality of life | Chinese State-Trait Anxiety Inventory ( C-STAI ) | Quality of Life Index for Colostomy ( QoL-Colostomy ) | World Health Organisation Quality of Life Scale | C-STAI score | physical health/independence and general perception of QoL | quality of life and decrease state anxiety,patients after stoma surgery . Eighteen patients who had undergone stoma surgery | patients after stoma surgery .,progressive muscle relaxation training | progressive muscle relaxation training ( PMRT ) | PMRT,"anxiety level and self-reported quality of life ( QoL ) | Chinese State-Trait Anxiety Inventory ( C-STAI ) , the Quality of Life Index for Colostomy ( QoL-Colostomy ) and the Hong Kong Chinese version of the World Health Organisation Quality of Life Scale ( WHOQoL ) . | C-STAI score | WHOQoL score | WHOQoL | QoL | QoL-Colostomy | quality of life | anxiety"
crf_predictions,11891832,44 patients with inclusion body myositis,methotrexate | placebo,"weakness progression | Mean change of quantitative muscle strength testing sum scores | Quantitative muscle strength testing sum scores | manual muscle testing sum scores , activity scale scores | Serum creatine kinase activity",inclusion body myositis | 44 patients with inclusion body myositis,methotrexate | placebo . | methotrexate | methotrexate | placebo | methotrexate | methotrexate,"weakness progression | disease progression | Mean change of quantitative muscle strength testing sum scores | Quantitative muscle strength testing sum scores | manual muscle testing sum scores , activity scale scores and patients ' own assessments | Serum creatine kinase activity | progression of muscle weakness | serum creatine kinase activity ."
crf_predictions,12139812,208,Not Found,Not Found,pterygium | pterygium . | 208 patients | initial pterygium,[ Limbal epithelial autograft transplantation | limbal epithelial autograft transplantation | pterygium excision | excision of pterygium | limbal epithelial autograft transplantation surgery | simple pterygium excision | limbal epithelial autograft transplantation,epithelial healing | abnormal proliferation of pterygium-like tissue .
crf_predictions,12477021,Not Found,Not Found,intra-ocular pressure ( IOP ),Thirty-five university students were assessed,Reichert AT550 : | Reichert AT550 . | Reichert Xpert Plus | Goldmann applanation tonometer | Perkins tonometer . | AT550 NCT | Goldmann tonometer | AT550 NCT | Goldmann tonometry,Clinical performance | level of accuracy | measurements | IOP
crf_predictions,12576806,57 | primary ureteropelvic junction obstruction,Not Found,symptom based questionnaire | incidence of urinary tract infections,57 | patients with primary ureteropelvic junction obstruction,stenting | Internal stenting | stenting | 7/14Fr internal endopyelotomy stent placement,optimum duration of stenting | symptoms | ipsilateral glomerular filtration rate . | drainage pattern . | Stent related symptoms | urinary tract infections | duration | stent related complications .
crf_predictions,12586799,advanced nasopharyngeal carcinoma | advanced NPC . | 284 patients with 1992 American Joint Committee on Cancer stage III to IV ( M0 ) NPC,chemoradiotherapy | radiotherapy | concurrent chemoradiotherapy ( CCRT ) | cisplatin | fluorouracil | RT-alone,progression-free survival | tumor relapse | 5-year overall survival rates | 5-year progression-free survival rates | toxicity | leukopenia and emesis | deaths,advanced nasopharyngeal carcinoma : | patients with advanced NPC . | From December 1993 to April 1999 | 284 patients with 1992 American Joint Committee on Cancer stage III to IV ( M0 ) NPC | patients with advanced NPC,concurrent chemoradiotherapy | radiotherapy | concurrent chemoradiotherapy ( CCRT ) | radiotherapy ( RT ) | chemotherapy | cisplatin | fluorouracil | CCRT | RT-alone | CCRT | RT-only | CCRT | RT-only | CCRT | CCRT | RT,overall and progression-free survival . | Survival analysis | tumor relapse | 5-year overall survival rates | 5-year progression-free survival rates | toxicity | leukopenia | emesis | treatment-related deaths
crf_predictions,12595499,Not Found,placebo | Ramipril | Ramipril prevents,microalbuminuria or new clinical proteinuria ),people at high cardiovascular risk | people with diabetes | 7674 participants with albuminuria data at baseline and at follow-up | nondiabetic and in diabetic people .,ramipril 's | placebo | Ramipril | Ramipril,clinical proteinuria | progression of albuminuria | microalbuminuria | clinical proteinuria . | progression | albuminuria . | progression of albuminuria .
crf_predictions,12709693,Not Found,remifentanil | propofol | fentanyl | midazolam,"quality of the analgesia | Numerical Pain Rating Scale ( NRS ) ; recovery level and return of psychomotor efficiency | average pain intensity score | maximum MPADS score | mean arterial pressure and heart rate and signs of respiratory depression | hemodynamic stability , minor respiratory depression",outpatient colonoscopy . | 100 adult patients,remifentanil | propofol | fentanyl | midazolam | propofol | remifentanil | propofol | midazolam | fentanyl | propofol | remifentanil | propofol | fentanyl | midazolam | propofol | remifentanil | propofol,Cardiorespiratory parameters | bispectral index | Numerical Pain Rating Scale ( NRS ) | recovery level | return of psychomotor efficiency | Aldrete scale | Modified Post Anesthesia Discharge Scoring ( MPADS ) system | pain intensity score | maximum MPADS score | mean arterial pressure and heart rate and signs of respiratory depression | analgesia | hemodynamic stability | respiratory depression | rapid recovery
crf_predictions,1286547,borderline hypertensive patients with IDDM-type diabetes mellitus | borderline hypertension,dihydropyridine calcium channel blocker | nitrendipine | placebo | nitrendipine treatment,plasma levels of platelet factor 4 and aggregation responses to collagen and ADP | PF4 plasma levels,borderline hypertensive patients with IDDM-type diabetes mellitus . Twenty-nine IDDM patients with borderline hypertension | diabetic patients with borderline hypertension .,dihydropyridine calcium channel blocker | nitrendipine | placebo | nitrendipine | Nitrendipine | placebo | nitrendipine | nitrendipine | nitrendipine,platelet thromboxane formation | Stimulated platelet thromboxane formation | plasma levels of platelet factor 4 and aggregation responses to collagen and ADP | thromboxane formation | Exercise induced change of thromboxane synthesis | PF4 plasma levels | Whole blood aggregation after collagen stimulation | aggregation | collagen dependent platelet activation
crf_predictions,12960652,necrotizing enterocolitis or pyloric stenosis.All infants,Not Found,Not Found,"infants | gastrointestinal diseases | infants with different gastrointestinal diseases | 21 patients | age 0-2 months | 40 healthy infants | age 0-2 months | patients suffered from partial or total intestinal obstruction , necrotizing enterocolitis or pyloric stenosis.All infants were fasting",epigastric impedance | Epigastric impedance | epigastric impedance | epigastric impedance,epigastric impedance | phasic activity | frequency phasic activity | phasic activity
crf_predictions,1459268,Forty-eight,gonadotropin-releasing hormone agonist | gonadotropin-releasing hormone agonist ( GnRH-a ) | GnRH-a,"Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges | ovulation induction , fertilization , and pregnancy rates",in vitro fertilization ( IVF ) | Forty-eight patients having IVF for the first time | undergoing IVF,gonadotropin-releasing hormone agonist | gonadotropin-releasing hormone agonist ( GnRH-a ) | GnRH-a .,"usefulness | Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges . | ovulation induction , fertilization , and pregnancy rates | LH surge ."
crf_predictions,14679127,advanced epithelial ovarian carcinoma | advanced epithelial ovarian cancer,topotecan | paclitaxel,"Cancer Quality of Life ( EORTC QOL ) -C30 questionnaire | anorexia , diarrhoea , fatigue | nausea and vomiting | dyspnea , constipation and insomnia ) | median time to progression | median survival | non-cumulative haematological toxicity | Non-haematological toxicity",advanced epithelial ovarian carcinoma . | patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen . | Patients with bidimensionally measurable disease | 226 | ovarian cancer .,topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | topotecan | paclitaxel | Topotecan | paclitaxel | topotecan,European Organisation for Research and Treatment of Cancer Quality of Life ( EORTC QOL ) -C30 questionnaire | pain | anorexia | diarrhoea | fatigue | nausea | vomiting | dyspnea | constipation | insomnia | progression | median survival | efficacy | survival | haematological toxicity . Non-haematological toxicity
crf_predictions,14739125,Not Found,torcetrapib | placebo,high-density lipoprotein cholesterol ( HDL-C ) levels | CETP inhibition | Total plasma cholesterol | low-density lipoprotein cholesterol,healthy young | Five groups of 8 subjects each,torcetrapib . | cholesteryl ester transfer protein ( CETP ) inhibitor torcetrapib | placebo | torcetrapib | Torcetrapib,plasma drug levels | Total plasma cholesterol | nonHDL-C | low-density lipoprotein cholesterol | Apolipoprotein A-I and E | apoB | Cholesteryl ester content | triglyceride
crf_predictions,14763035,Not Found,Valsartan | selective angiotensin II receptor blocker ( ARB ) | ARB valsartan | placebo,"large-artery compliance and arterial wave reflections [ pulse wave velocity ( PWV ) and augmentation index ( AI ) application tonometry ] | body weight , BP | serum creatinine , electrolytes , complete blood cell counts | urine volume , drainage volume , and weekly creatinine clearance | Systolic and diastolic BP",left ventricular hypertrophy | patients on continuous ambulatory peritoneal dialysis ( CAPD ) . | 24 CAPD patients with LVH [ left ventricular mass index ( LVMi ) > 110 g/m2 for women | LVMi > 137 g/m2 for men,Valsartan | selective angiotensin II receptor blocker ( ARB ) | ARB valsartan | placebo | ARB . | ARB | placebo | ARB,"blood pressure ( BP ) | aortic and large-artery compliance | arterial wave reflections [ pulse wave velocity ( PWV ) | augmentation index ( AI ) application tonometry ] | cardiac echocardiography . | body weight , BP ( mercury sphygmomanometer ) , serum creatinine , electrolytes , complete blood cell counts , urine volume , drainage volume , and weekly creatinine clearance . | Systolic and diastolic BP | LVMi | LVMi | PWV | AI | LVMi"
crf_predictions,15014018,713 | high-risk resected melanoma,adjuvant high-dose interferon | IFN-alpha 2b therapy | IFN-alpha 2b ( HDI ),relapse-free survival | ulceration,Nearly 2000 patients with stage IIB and III melanoma | patients with high-risk resected melanoma,interferon | IFN-alpha 2b | IFN-alpha 2b ( HDI ) | Obs | HDI | Obs | HDI | Obs,relapse-free survival ( RFS ) | overall survival ( OS ) | RFS | OS | RFS | OS
crf_predictions,15133359,Thirty-four,"INTRODUCTION Biventricular pacing system implantation | dedicated guiding catheters ( guiding catheter alone positioning strategy , GCA ) or with the aid of an electrophysiology catheter advanced inside the guiding catheter ( electrophysiology catheter aided positioning strategy | conventional GCA technique | EPA",CS cannulation time | Time to successful catheterization of CS | Fluoroscopy time | Total contrast dye volume to search and engage the CS ostium | fluoroscopy time and contrast dye volume,biventricular implantation | Thirty-four consecutive patients,catheters | guiding catheter alone | GCA | electrophysiology catheter advanced | electrophysiology catheter aided | EPA | GCA | GCA | EPA | EPA | GCA | EPA | GCA | EPA | GCA,"CS cannulation time | Time to successful catheterization of CS | Fluoroscopy time | contrast dye volume | procedural time , fluoroscopy time | contrast dye volume"
crf_predictions,15193668,autism,view two videotapes of a boy engaging,peers ' perceptions and behavioral intentions | Children responded to measures of attitudes ( Adjective Checklist ) and behavioral intentions | attitudes and behavioral intentions,peers | peers | child with autism . Children | 576 | M age = 10.06 | children 's,descriptive ( AUT-D ) | descriptive and explanatory information ( AUT-D + E ) . | descriptive and explanatory information,peers ' perceptions | peers ' perceptions | behavioral intentions | ( Adjective Checklist ) | ( Shared Activities Questionnaire ) | children 's attitudes | behavioral intentions
crf_predictions,15358868,adults | autism | children,Not Found,Not Found,adults with autism . | adults with autism . | adults with autism,,searching for targets . | visual search performance | visual discrimination ability . | unique item detection
crf_predictions,15848261,Twenty-six | Thirteen,conventional physical therapy alone | physical therapy ( control group ),Gait spatiotemporal parameters | Gait velocity | walking pattern,stroke patients ] | post-acute hemiparetic patients | Twenty-six patients within 3 months of onset of stroke,conventional physical therapy alone | specialised balance retraining program | physical therapy | therapy and retraining | conventional therapy | therapy | standing balance training by biofeedback ( BPM Monitor ) | conventional therapy .,gait improvement | Gait spatiotemporal parameters | clinical scores | time between stroke and the beginning of walking | Gait velocity | walking pattern | duration of the paretic limb single stance . | duration of the reception double stance on the paretic limb
crf_predictions,15854186,Not Found,Cophenylcaine spray | placebo | cophenylcaine,unpleasantness of taste and overall discomfort | pain | sensation of bad taste,flexible nasendoscopy : | 98 patients | flexible nasendoscopy . | flexible nasendoscopy .,Cophenylcaine | placebo | cophenylcaine | placebo | cophenylcaine | cophenylcaine,"pain , unpleasantness of taste and overall discomfort experienced . | pain and discomfort | pain or overall discomfort | sensation of bad taste | unpleasantness | pain | unpleasantness of taste ."
crf_predictions,15858959,children | Two hundred children,placebo,average stool frequency | duration of diarrhoea | duration of hospital stay | duration of acute diarrhoea and the duration of hospital stay,children | acute diarrhoea | children with acute diarrhoea . | Two hundred children | acute diarrhoea in children,Saccharomyces boulardii | Saccharomyces boulardii . | S. boulardii | S. boulardii | S. boulardii | placebo | placebo | S. boulardii | placebo | S. boulardii | placebo | S. boulardii | S. boulardii | placebo | placebo | S. boulardii | S. boulardii | S. boulardii,average stool frequency | duration of diarrhoea | duration of hospital stay | duration of acute diarrhoea | duration of hospital stay
crf_predictions,16167234,Forty,amino acid enriched formula | amino acid ( BCAA ) enriched formula | routine amino acid | TPN with BCAA enriched formula,"Nitrogen balance | serum total protein , albumin , prealbumin , transferrin , retinol binding protein and postoperative fatigue score | cumulative postoperative fatigue scores | cumulative nitrogen balance | serum level of retinol binding protein | postoperative fatigue score",after digestive surgery ] | digestive surgery patients . | Forty patients who underwent digestive surgery | digestive surgery patients .,amino acid enriched formula | branch chain amino acid ( BCAA ) enriched formula | BCAA enriched | routine amino acid | BCAA | BCAA-enriched | BCAA enriched formula,"postoperative fatigue | nutritional status | nutritional status | postoperative fatigue | Nitrogen balance , serum total protein , albumin , prealbumin , transferrin , retinol binding protein and postoperative fatigue score | cumulative postoperative fatigue scores | nitrogen balance | cumulative nitrogen balance | serum total protein , albumin , prealbumin , transferrin | serum level of retinol binding protein | postoperative fatigue score | nutritional status"
crf_predictions,16295154,autistic spectrum disorder | ASD,"post-diagnosis nursing intervention | usual care plus 3 hours contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction",Not Found,parents of children | autistic spectrum disorder | Parents of children | diagnosis of autistic spectrum disorder ( ASD ) | parents of children with ASD,"Intervention | nursing intervention | post-diagnosis nursing intervention | usual care | contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan | usual care | consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan","parents ' reports of stress | impact of event ( diagnosis ) | use of services | "" impact of event "" | "" perceived stress """
crf_predictions,16427787,Not Found,melatonin | placebo controlled functional magnetic resonance imaging ( fMRI ),homeostatic sleep need .,human,melatonin | melatonin | Melatonin | placebo | melatonin | melatonin | melatonin | melatonin,effects | task-related activity | subjective measurements of fatigue . | activation in the left parahippocampus | brain activity | fatigue
