Document_ID,Abstract,Participants,Interventions,Outcomes,Gold_Participants,Gold_Interventions,Gold_Outcomes
11099086,"Oral ciprofloxacin vs. intramuscular ceftriaxone as empiric treatment of acute invasive diarrhea in children . BACKGROUND Acute invasive diarrhea is a potentially serious condition in children . Because of the increasing resistance of enteric pathogens to commonly used oral antibiotics , intramuscular ceftriaxone has become the routine drug in the treatment of acute invasive diarrhea requiring an  ...",children | infants | 201 | acute invasive diarrhea,Oral | ciprofloxacin | intramuscular ceftriaxone | ciprofloxacin suspension | im ceftriaxone | ceftriaxone,efficacy and safety | Stool | Clinical response and safety | Overall bacteriologic eradication | Clinical cure or improvement | Serum ciprofloxacin values,acute invasive diarrhea | children | children . | acute invasive diarrhea | infants and children | 201 | children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting with acute invasive diarrhea at the Pediatric Emergency Room | ambulatory pediatric patients requiring an emergency room visit .,ciprofloxacin | ceftriaxone | ceftriaxone | ciprofloxacin | ciprofloxacin | ceftriaxone | ciprofloxacin | ceftriaxone | ciprofloxacin | ciprofloxacin | ceftriaxone | ciprofloxacin | ceftriaxone,"efficacy | safety | Stool cultures for Shigella , Salmonella , Campylobacter spp . and diarrheagenic Escherichia coli | Clinical response and safety | Clinical cure or improvement | adverse events | Joint examination | safe | effective"
11229858,"Effect of antipyretic drugs in children with malaria . A comparison of different antipyretics in children with malaria showed a small effect of naproxen , but not of metamizol , on the reduction of fever peaks . Antipyretic treatment had no effect on fever clearance and therefore should be used cautiously in the treatment of malaria .",children | malaria,antipyretic drugs | antipyretics | naproxen | metamizol | Antipyretic treatment,fever peaks | fever clearance,children | malaria | children | malaria | malaria .,antipyretic drugs | antipyretics | naproxen | metamizol | Antipyretic,reduction of fever peaks . | fever clearance
1131298,"Effect of the essential oils of garlic and onion on alimentary hyperlipemia . SUMMARY The effect of garlic and onion on alimentary hyperlipemia , induced by feeding 100 g butter , has been studied in 10 healthy subjects . The freshly extracted juice of 50 g of garlic or onion , as well as an equivalent amount of their ether-extracted essential oils , was administered randomly on four different day ...",10 healthy,garlic and onion | ether-extracted essential oils | Garlic | onion,alimentary | serum cholesterol and plasma fibrinogen | decreases in coagulation time and fibrinolytic activity,10 healthy subjects,essential oils of garlic and onion | garlic and onion | garlic or onion | essential oils | Garlic and onion | garlic | onion . | garlic and onion,serum cholesterol and plasma fibrinogen | coagulation time | fibrinolytic activity . | effects
11317090,Economic evaluation of aquatic exercise for persons with osteoarthritis . OBJECTIVES To estimate cost and outcomes of the Arthritis Foundation aquatic exercise classes from the societal perspective . DESIGN Randomized trial of 20-week aquatic classes . Cost per quality-adjusted life year ( QALY ) gained was estimated using trial data . Sample size was based on 80 % power to reject the null hypothe ...,persons | osteoarthritis | 249 adults | 55 to 75,aquatic exercise | Arthritis | aquatic classes,Cost | Quality of Well-Being Scale ( QWB ) | Current Health Desirability Rating ( CHDR ) | arthritis-specific Health Assessment Questionnaire ( HAQ ) | Center for Epidemiologic Studies-Depression Scale ( CES-D ) | Perceived Quality of Life Scale ( PQOL ) | costs/QALY | health-related quality of life,persons with osteoarthritis . | 249 adults from Washington State aged 55 to 75 | doctor-confirmed diagnosis of osteoarthritis,aquatic exercise | aquatic exercise classes | aquatic classes . | aquatic classes . | Aquatic exercisers | Aquatic exercise | aquatic exercise .,"Economic evaluation | cost | outcomes | Cost per quality-adjusted life year ( QALY ) | cost/QALY | Quality of Well-Being Scale ( QWB ) | Current Health Desirability Rating ( CHDR ) | arthritis-specific Health Assessment Questionnaire ( HAQ ) , Center for Epidemiologic Studies-Depression Scale ( CES-D ) | Perceived Quality of Life Scale ( PQOL ) | QALYs . Use of health care facilities | Medicare reimbursement rates | costs/QALY ratios | ( QWB ) | ( CHDR , HAQ , PQOL ) | Costs/QALY | QWB | CHRD . | QALY"
11381289,"Why were the results of the Heart Outcomes Prevention Evaluation ( HOPE ) trial so astounding ? The Heart Outcomes Prevention Evaluation ( HOPE ) study was important because it showed the benefits of ramipril - an angiotensin-converting enzyme ( ACE ) inhibitor - in patients at high risk for cardiovascular events . Treatment with ramipril significantly reduced the rates of death , myocardial infar ...",Not Found,ramipril | vitamin E | ACE inhibitor therapy,"rates of death | myocardial infarction , stroke | cardiac arrest and heart failure | risk of diabetes-related complications | blood pressure",patients at high risk for cardiovascular events .,ramipril | angiotensin-converting enzyme ( ACE ) inhibitor | ramipril | vitamin E | ACE inhibitor,"rates of death , myocardial infarction , stroke , coronary revascularization , cardiac arrest and heart failure | risk of diabetes-related complications and of diabetes itself ."
11401641,"Additive IOP-reducing effect of latanoprost in patients insufficiently controlled on timolol . PURPOSE To evaluate the effect on intraocular pressure ( IOP ) of switching from timolol to latanoprost or adding latanoprost to timolol in patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol . METHODS This was a 6-week , double-masked , randomised ...",open angle glaucoma | 53 | primary open angle glaucoma | capsular glaucoma | ocular hypertension,latanoprost | timolol | timolol to | latanoprost to | timolol to latanoprost | latanoprost in addition to,intraocular pressure ( IOP ) | efficacy | IOP,"patients insufficiently controlled on timolol . | patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol . | 53 patients with primary open angle glaucoma , capsular glaucoma , or ocular hypertension with an IOP of at least 21 mmHg on current therapy",timolol | latanoprost | latanoprost | timolol | timolol | timolol | timolol | latanoprost | latanoprost | timolol .,IOP-reducing | intraocular pressure ( IOP ) | IOP | IOP | IOP | IOP | IOP | IOP
11454878,"Recurrent epithelial ovarian carcinoma : a randomized phase III study of pegylated liposomal doxorubicin versus topotecan . PURPOSE To compare the efficacy and safety of pegylated liposomal doxorubicin ( PLD ) and topotecan in patients with epithelial ovarian carcinoma that recurred after or did n't respond to first-line , platinum-based chemotherapy . PATIENTS AND METHODS Patients with measurable ...",Recurrent epithelial ovarian carcinoma | epithelial ovarian carcinoma | 474 | 239,pegylated liposomal doxorubicin | topotecan | pegylated liposomal doxorubicin ( PLD ) | platinum-based | PLD,efficacy and safety | overall progression-free survival rates | overall response rates | Median overall survival times | progression-free survival | overall survival | Severe hematologic toxicity | efficacy,"patients with epithelial ovarian carcinoma that recurred after or did n't respond to first-line , platinum-based chemotherapy . | Patients with measurable and assessable disease | 474",pegylated liposomal doxorubicin | topotecan . | pegylated liposomal doxorubicin ( PLD ) | topotecan | PLD | topotecan | PLD | topotecan | PLD | topotecan | PLD | topotecan | PLD | PLD | topotecan . | PLD | topotecan | topotecan | topotecan | PLD,efficacy | safety | overall progression-free survival rates | overall response rates | Median overall survival times | overall survival | Severe hematologic toxicity | efficacy | safety
11495215,"Oral contraceptive use is associated with increased cardiovascular reactivity in nonsmokers . Women who smoke and take oral contraceptives ( OCs ) have significantly increased risk of cardiovascular disease , but the exact mechanismsfor the increased risk are not known . Cardiovascular reactivity to psychological stress may be one mechanism for the enhanced risk , but the small number of studies e ...",nonsmokers | Women | Sixty healthy women,Oral contraceptive | oral | OC | OCs | nicotine deprivation | administration of | nicotine gum | nicotine,"cardiovascular reactivity | cardiovascular and lipid reactivity | Heart rate , blood pressure | smoking status | heart rate and | diastolic blood pressure reactivity to stress | cardiovascular or lipid stress reactivity","Sixty healthy women , half of whom had been using OCs for at least the previous 6 months | two thirds were smokers | One third were nonsmokers .",Oral contraceptive | oral contraceptives ( OCs ) | nicotine | nicotine | OC | nicotine | OC | nicotine | nicotine | OC,"cardiovascular reactivity | cardiovascular and lipid reactivity . | Heart rate , blood pressure , and lipid measures | heart rate and diastolic blood pressure reactivity | cardiovascular or lipid stress reactivity | cardiovascular reactivity"
11642083,"[ Neoton and thrombolytic therapy of myocardial infarction ] . AIM To evaluate neoton therapy effects in acute myocardial infarction ( MI ) on systolic function of the left ventricle , arrhythmia and clinical symptoms in patients on thrombolytic therapy ( TLT ) . MATERIAL AND METHODS 106 males with Q-MI entered the study . 47 received treatment without TLT and neoton , 30 patients received TLT wit ...",myocardial infarction | 106 males | Q-MI,Neoton | thrombolytic therapy | neoton therapy | thrombolytic therapy ( TLT ) | TLT | TLT with streptokinase preparations | streptokinase preparations and,systolic function of the left ventricle | Left ventricular systolic function | arrhythmia | progression of left ventricular dilation | end systolic and diastolic volumes of the left ventricle | Antiarrhythmic action | left ventricular systolic dysfunction,myocardial infarction | patients on thrombolytic therapy ( TLT ) . | 106 males | Q-MI,Neoton | thrombolytic therapy | neoton | thrombolytic therapy ( TLT ) | TLT | neoton | TLT | streptokinase | streptokinase preparations | neoton . | neoton | neoton | Neoton,"systolic function of the left ventricle , arrhythmia and clinical symptoms | Left ventricular systolic function | arrhythmia | systolic and diastolic volumes | left ventricular systolic dysfunction"
11737955,Antioxidant supplementation and exercise-induced oxidative stress in the 60-year-old as measured by antipyrine hydroxylates . The effects of 12 weeks of antioxidant supplementation on exercise-induced oxidative stress were investigated in older adults ( 60 ( SE 1 ) years ; BMI 26 ( SE 1 ) kg/m ( 2 ) ) . Subjects were randomly divided in two groups : supplementation ( n 11 ) with 100 mg dl-alpha-to ...,60-year-old | older adults | 60 (,Antioxidant supplementation | antipyrine | 100 mg dl-alpha-tocopheryl acetate | ascorbic acid | placebo | antioxidant,plasma concentrations of alpha-tocopherol and beta-carotene | exercise-induced | ratios para- and ortho-hydroxyantipyrine to antipyrine | exercise-induced increase | thiobarbituric acid reactive substances in plasma,the 60-year-old | older adults ( 60 ( SE 1 ) years ; BMI 26 ( SE 1 ) kg/m ( 2 ) ) | 60-year-old subjects,Antioxidant supplementation | antipyrine | antioxidant supplementation | dl-alpha-tocopheryl acetate | ascorbic acid | beta-carotene | placebo | Antipyrine | antioxidant supplementation,para- and ortho-hydroxyantipyrine to antipyrine . | thiobarbituric acid reactive substances in plasma . | free radical products of antipyrine .
11750293,"The course of depression in recent onset rheumatoid arthritis : the predictive role of disability , illness perceptions , pain and coping . BACKGROUND This study aimed to investigate the course of depression for patients with recently diagnosed rheumatoid arthritis ( RA ) and to investigate predictors of depression . METHODS Twenty-two patients with a history of recently diagnosed RA of less than  ...",recent onset rheumatoid arthritis | Twenty-two | 22,standard outpatient clinic treatment,depressed | depression | initial level of depression | disability | pain | beliefs about the consequences of arthritis | coping strategies,recent onset rheumatoid arthritis : | patients with recently diagnosed rheumatoid arthritis ( RA ) | Twenty-two patients with a history of recently diagnosed RA of less than 2 years | 22 patients,standard outpatient clinic treatment,"disability | illness perceptions | pain | coping | depression . | clinical outcome and process measures | predict depression | depression , disability , pain , beliefs about the consequences of arthritis and coping strategies ."
11829043,"A pilot study on the effect of progressive muscle relaxation training of patients after stoma surgery . Eighteen patients who had undergone stoma surgery were assessed with respect to their anxiety level and self-reported quality of life ( QoL ) on three occasions ; namely , immediately after surgery , 5 weeks after surgery , and 10 weeks after surgery . The patients were randomised into a control ...",stoma surgery | Eighteen,progressive muscle relaxation training | control | audiotaped instructions on | progressive muscle relaxation training ( PMRT ) | PMRT,anxiety level | self-reported quality of life ( QoL ) | Chinese State-Trait Anxiety Inventory ( C-STAI ) | Quality of Life Index for Colostomy ( QoL-Colostomy ) | Hong Kong Chinese version of the World Health Organisation Quality of Life Scale ( WHOQoL ) | C-STAI score | WHOQoL score | WHOQoL | physical health/independence | general perception of QoL | quality of life | state anxiety,patients after stoma surgery . Eighteen patients who had undergone stoma surgery | patients after stoma surgery .,progressive muscle relaxation training | progressive muscle relaxation training ( PMRT ) | PMRT,"anxiety level and self-reported quality of life ( QoL ) | Chinese State-Trait Anxiety Inventory ( C-STAI ) , the Quality of Life Index for Colostomy ( QoL-Colostomy ) and the Hong Kong Chinese version of the World Health Organisation Quality of Life Scale ( WHOQoL ) . | C-STAI score | WHOQoL score | WHOQoL | QoL | QoL-Colostomy | quality of life | anxiety"
11891832,Comparison of weakness progression in inclusion body myositis during treatment with methotrexate or placebo . We investigated whether 5 to 20mg per week oral methotrexate could slow down disease progression in 44 patients with inclusion body myositis in a randomized double-blind placebo-controlled study over 48 weeks . Mean change of quantitative muscle strength testing sum scores was the primary  ...,inclusion body myositis | 44,methotrexate | placebo | oral | placebo-controlled,weakness | Mean change of quantitative muscle strength testing sum scores | Quantitative muscle strength testing sum scores | manual muscle testing sum scores | activity scale scores | patients ' own assessments | Serum creatine kinase activity | progression of muscle weakness,inclusion body myositis | 44 patients with inclusion body myositis,methotrexate | placebo . | methotrexate | methotrexate | placebo | methotrexate | methotrexate,"weakness progression | disease progression | Mean change of quantitative muscle strength testing sum scores | Quantitative muscle strength testing sum scores | manual muscle testing sum scores , activity scale scores and patients ' own assessments | Serum creatine kinase activity | progression of muscle weakness | serum creatine kinase activity ."
12139812,"[ Limbal epithelial autograft transplantation in treatment of pterygium ] . OBJECTIVE To observe the therapeutic effects of limbal epithelial autograft transplantation and pterygium excision in the treatment of pterygium . METHODS A prospective randomized paired-eye trial was studied . There were 208 patients ( 229 eyes ) with initial pterygium , and they were allocated to two groups : excision of ...",pterygium | 208 | 229,Limbal epithelial autograft transplantation | pterygium excision | excision of pterygium with limbal epithelial autograft transplantation surgery | simple pterygium excision,corneal transparency,pterygium | pterygium . | 208 patients | initial pterygium,[ Limbal epithelial autograft transplantation | limbal epithelial autograft transplantation | pterygium excision | excision of pterygium | limbal epithelial autograft transplantation surgery | simple pterygium excision | limbal epithelial autograft transplantation,epithelial healing | abnormal proliferation of pterygium-like tissue .
12477021,"Clinical performance of the Reichert AT550 : a new non-contact tonometer . The aim of the present study was to assess the level of accuracy for measurements of intra-ocular pressure ( IOP ) obtained with a new non-contact tonometer ( NCT ) the Reichert AT550 . Measurements were compared against those obtained with the Reichert Xpert Plus , Goldmann applanation tonometer and Perkins tonometer . Thi ...",Thirty-five,Reichert AT550 | non-contact tonometer ( NCT ) | Reichert Xpert Plus | Goldmann applanation tonometer | Perkins tonometer | non-contact tonometry | contact | Goldmann,intra-ocular pressure ( IOP ),Thirty-five university students were assessed,Reichert AT550 : | Reichert AT550 . | Reichert Xpert Plus | Goldmann applanation tonometer | Perkins tonometer . | AT550 NCT | Goldmann tonometer | AT550 NCT | Goldmann tonometry,Clinical performance | level of accuracy | measurements | IOP
12576806,Is a 2-week duration sufficient for stenting in endopyelotomy ? PURPOSE Internal stenting is an integral part of endopyelotomy . Studies in animals show good healing after 1 to 2 weeks of ureterotomy . Inherent stent related problems warrant a minimum possible duration of stenting without compromising the results of endopyelotomy . We performed a prospective randomized trial to evaluate the optimu ...,57 | primary ureteropelvic junction obstruction,stenting | Internal stenting | 7/14Fr | internal endopyelotomy stent placement | diuretic | diuretic renography,symptom based | drainage pattern | Stent related symptoms | urinary tract infections | stent related complications,57 | patients with primary ureteropelvic junction obstruction,stenting | Internal stenting | stenting | 7/14Fr internal endopyelotomy stent placement,optimum duration of stenting | symptoms | ipsilateral glomerular filtration rate . | drainage pattern . | Stent related symptoms | urinary tract infections | duration | stent related complications .
12586799,Phase III study of concurrent chemoradiotherapy versus radiotherapy alone for advanced nasopharyngeal carcinoma : positive effect on overall and progression-free survival . PURPOSE Nasopharyngeal carcinoma ( NPC ) is a radiosensitive and chemosensitive tumor . This randomized phase III trial compared concurrent chemoradiotherapy ( CCRT ) versus radiotherapy ( RT ) alone in patients with advanced N ...,advanced nasopharyngeal carcinoma | advanced NPC | 284,concurrent chemoradiotherapy | radiotherapy alone | concurrent chemoradiotherapy ( CCRT ) | radiotherapy ( RT ) alone | RT | concurrent chemotherapy | CCRT | RT-alone | RT-only,overall | Survival | tumor relapse | 5-year overall survival rates | 5-year progression-free survival rates | toxicity | leukopenia and emesis | treatment-related deaths,advanced nasopharyngeal carcinoma : | patients with advanced NPC . | From December 1993 to April 1999 | 284 patients with 1992 American Joint Committee on Cancer stage III to IV ( M0 ) NPC | patients with advanced NPC,concurrent chemoradiotherapy | radiotherapy | concurrent chemoradiotherapy ( CCRT ) | radiotherapy ( RT ) | chemotherapy | cisplatin | fluorouracil | CCRT | RT-alone | CCRT | RT-only | CCRT | RT-only | CCRT | CCRT | RT,overall and progression-free survival . | Survival analysis | tumor relapse | 5-year overall survival rates | 5-year progression-free survival rates | toxicity | leukopenia | emesis | treatment-related deaths
12595499,"Development of renal disease in people at high cardiovascular risk : results of the HOPE randomized study . In people with diabetes , renal disease tends to progress from microalbuminuria to clinical proteinuria to renal insufficiency . Little evidence has been published for the nondiabetic population . This study retrospectively analyzed changes of proteinuria over 4.5 yr in the HOPE ( Heart Outc ...",diabetes | 9297 | 3577 | 1956 | microalbuminuria | 7674,ramipril 's | placebo | Ramipril,renal | clinical proteinuria | progression of albuminuria | microalbuminuria | albuminuria,people at high cardiovascular risk | people with diabetes | 7674 participants with albuminuria data at baseline and at follow-up | nondiabetic and in diabetic people .,ramipril 's | placebo | Ramipril | Ramipril,clinical proteinuria | progression of albuminuria | microalbuminuria | clinical proteinuria . | progression | albuminuria . | progression of albuminuria .
